battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,kits,BRL,Neosolar,NEO-22214,,,,,1,"Kit Gerador Energia Solar 1,10 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Laje)",,,0,10,10.0,1100,0,,,draft,Solar Kit|Neosolar,0,1,12,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22124,,,,,,"Kit Gerador Energia Solar 1,66kWp - Microinversor Deye c/ Wifi SUN2000 C/ Parafuso (Metal)",,,555,3,66.0,1665,0,,,draft,Solar Kit|Neosolar,0,0,3,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22221,,,,,1,"Kit Gerador Energia Solar 1,65 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Laje)",,,0,65,65.0,1650,0,,,draft,Solar Kit|Neosolar,0,1,68,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22416,,,,,1,"Kit Gerador Energia Solar 1,16 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel OSDA (Metálica)",,,0,16,16.0,1160,0,,,draft,Solar Kit|Neosolar,0,1,18,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22283,,,,,1,"Kit Gerador Energia Solar 1,16 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Mini trilho)",,,0,16,16.0,1160,0,,,draft,Solar Kit|Neosolar,0,1,18,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22277,,,,,1,"Kit Gerador Energia Solar 0,58 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Madeira)",,,0,58,58.0,580,0,,,draft,Solar Kit|Neosolar,0,1,59,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22274,,,,,1,"Kit Gerador Energia Solar 0,58 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Laje)",,,0,58,58.0,580,0,,,draft,Solar Kit|Neosolar,0,1,59,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22219,,,,,1,"Kit Gerador Energia Solar 1,10 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,10,10.0,1100,0,,,draft,Solar Kit|Neosolar,0,1,12,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22210,,,,,1,"Kit Gerador Energia Solar 0,55 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Madeira)",,,0,55,55.0,550,0,,,draft,Solar Kit|Neosolar,0,1,56,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22516,,,,,1,"Kit Gerador Energia Solar 2,22 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel ReneSola (Para Solo)",,,0,22,22.0,2220,0,,,draft,Solar Kit|Neosolar,0,1,26,0,Solar Kit Grid-Tie
