distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_inverters_IIN00260,FOXESS ON-GRID 10KW - 220V - 3 MPPT - AFCI (G10),Foxess,,,inverters,,,,,,,,,BRL,FOXESS ON-GRID 10KW - 220V - 3 MPPT - AFCI (G10),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00259,FOXESS  ON-GRID 9KW - 220V - 3 MPPT - AFCI (G9),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 9KW - 220V - 3 MPPT - AFCI (G9),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00258,FOXESS  ON-GRID 15KW - 380V - 2 MPPT - AFCI (T15-G3),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 15KW - 380V - 2 MPPT - AFCI (T15-G3),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00257,FOXESS  ON-GRID 20KW - 380V - 2 MPPT - AFCI (T20-G3),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 20KW - 380V - 2 MPPT - AFCI (T20-G3),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00256,FOXESS ON-GRID 25KW - 380V - 2 MPPT - AFCI (T25-G3),Foxess,,,inverters,,,,,,,,,BRL,FOXESS ON-GRID 25KW - 380V - 2 MPPT - AFCI (T25-G3),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00228,SUNGROW ON-GRID 4KW - 220V - 2 MPPT - AFCI (SG4RS-L),Sungrow,,,inverters,,,,,,,,,BRL,SUNGROW ON-GRID 4KW - 220V - 2 MPPT - AFCI (SG4RS-L),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00219,SUNGROW ON-GRID 3KW - 220V - 1 MPPT - AFCI (SG3.0RS-L),Sungrow,,,inverters,,,,,,,,,BRL,SUNGROW ON-GRID 3KW - 220V - 1 MPPT - AFCI (SG3.0RS-L),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00164,FERRAMENTA P/ DESCONEXAO TERMINAIS CABO-Q ENPHASE,Enphase,,,inverters,,,,,,,,,BRL,FERRAMENTA P/ DESCONEXAO TERMINAIS CABO-Q ENPHASE,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00161,PAR DE CONECTOR P/ CABO-Q ENPHASE,Enphase,,,inverters,,,,,,,,,BRL,PAR DE CONECTOR P/ CABO-Q ENPHASE,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00148,SOLAREDGE SE100K SYNERGY - 380V,Unknown,,,inverters,,,,,,,,,BRL,SOLAREDGE SE100K SYNERGY - 380V,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00071,GROWATT SPF3500ES - 230V - 1MPPT,Growatt,,,inverters,,,,,,,,,BRL,GROWATT SPF3500ES - 230V - 1MPPT,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00182,GROWATT OFF-GRID 5KW - 220V - 1 MPPT (SPF5000ES),Growatt,,,inverters,,,,,,,,,BRL,GROWATT OFF-GRID 5KW - 220V - 1 MPPT (SPF5000ES),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00021,SUNGROW ON-GRID 125KW - 600V - 1 MPPT (SG125HV),Sungrow,,,inverters,,,,,,,,,BRL,SUNGROW ON-GRID 125KW - 600V - 1 MPPT (SG125HV),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00018,SUNGROW SG60KTL - 380V - 1MPPT,Sungrow,,,inverters,,,,,,,,,BRL,SUNGROW SG60KTL - 380V - 1MPPT,,,,,,,,,,,
