sku,has_images,image_count,primary_url,all_urls,categories,total_size_bytes,formats
"GOODWEGW25KSDTP31AFCICRSDIMAGEPRODUCT600452",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW25K-SDT-P31 - AFCI C- RSD_IMAGE_PRODUCT_600452.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW25K-SDT-P31 - AFCI C- RSD_IMAGE_PRODUCT_600452.png","inversores",29084,"png"
"GOODWEGW25KSDTP31AFCIIMAGEPRODUCT600404",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW25K-SDT-P31 - AFCI_IMAGE_PRODUCT_600404.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW25K-SDT-P31 - AFCI_IMAGE_PRODUCT_600404.png","inversores",29084,"png"
"GOODWEGW30KETAFCIIMAGEPRODUCT600150",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW30K-ET - AFCI_IMAGE_PRODUCT_600150.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW30K-ET - AFCI_IMAGE_PRODUCT_600150.png","inversores",90797,"png"
"GOODWEGW30KLSMTAFCIIMAGEPRODUCT600268",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 30KLS-MT - AFCI_IMAGE_PRODUCT_600268.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 30KLS-MT - AFCI_IMAGE_PRODUCT_600268.png","inversores",174786,"png"
"GOODWEGW30KLSMTAFCIREDIMAGEPRODUCT600483",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 30KLS-MT - AFCI RED_IMAGE_PRODUCT_600483.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 30KLS-MT - AFCI RED_IMAGE_PRODUCT_600483.png","inversores",47388,"png"
"GOODWEGW30KSDTC30AFCIIMAGE",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 30K-SDT-C30 - AFCI_image.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 30K-SDT-C30 - AFCI_image.png","inversores",266445,"png"
"GOODWEGW3300XS30AFCIIMAGE",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 3300-XS-30 - AFCI_image.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 3300-XS-30 - AFCI_image.png","inversores",142230,"png"
"GOODWEGW3500LESBR20IMAGEPRODUCT600361",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW3500L-ES-BR20_IMAGE_PRODUCT_600361.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW3500L-ES-BR20_IMAGE_PRODUCT_600361.png","inversores",22533,"png"
"GOODWEGW35KLSMTAFCIIMAGE",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 35KLS-MT - AFCI_image.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 35KLS-MT - AFCI_image.png","inversores",174786,"png"
"GOODWEGW35KLSMTIMAGEPRODUCT600109",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 35KLS-MT_IMAGE_PRODUCT_600109.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW 35KLS-MT_IMAGE_PRODUCT_600109.png","inversores",174786,"png"
"GOODWEGW3600ESBR20AFCIIMAGE",true,1,"https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW3600-ES-BR20 - AFCI_image.png","https://cdn.yellosolarhub.com/products/inversores/GOODWE-GW3600-ES-BR20 - AFCI_image.png","inversores",193561,"png"
